SNO,FOLDER,SIZE,TYPE
1,3D,167,GB
2,ADOBE,20.8,GB
3,AECS5COMMONPATH,4.61,MB
4,AUDIO BIBLE - ALEXANDER SCOURBY,3.89,GB
5,Brushes,1.75,GB
6,DISTRO,0.08,MB
7,driver ASUS,0.05,MB
8,KODU,46,GB
9,LMS,51.9,MB
10,LyndaDecryptor,17.1,MB
11,LyndaDescripted,8.29,GB
12,Memory Verse Audio,93.8,MB
13,moodlevault,15.7,MB
14,MUSIC,38.7,GB
15,Music Tutorials,8.7,GB
16,nascPictures,5.67,GB
17,new,4.51,GB
18,OVER PROJECT,64.3,GB
19,photos,26.9,GB
20,PHOTOS2,11.6,GB
21,PHOTOSHOP,5.95,GB
22,RCCG,88.5,GB
23,RCCG ANA CHOIR,10.4,MB
24,RCCG- COP PARISH,2.88,MB
25,ROBOTICS,12.1,GB
26,SHIFT 2018,6.35,GB
27,SOUND,9.45,GB
28,tmp,1.7,GB
29,VIDEO SHOT,312,GB
30,VISIO,437,MG
31,Web,58.6,GB
32,web cast,10.7,GB
33,Web Projects,20.8,GB
34,webTemplate 2,112,KB
35,word saves,16,KB
36,YAYA,124,MB
,,,
